date,open,high,low,close,volume
2025-09-09,54.630,56.900,54.360,55.670,35648033
2025-09-10,55.750,58.180,55.700,57.240,31693304
2025-09-11,57.250,58.860,56.820,58.840,27898445
2025-09-12,58.870,59.290,58.100,58.250,19741607
2025-09-15,58.000,59.050,57.770,58.390,16291598
2025-09-16,58.300,58.390,57.030,57.890,15496586
2025-09-17,57.900,58.570,57.530,58.500,14913569
2025-09-18,58.470,59.770,58.010,58.650,26211386
2025-09-19,59.600,63.080,59.600,62.450,56957520
2025-09-22,62.100,63.950,62.020,63.740,38832790
2025-09-23,64.700,65.080,62.190,63.740,28917197
2025-09-24,63.150,65.500,62.320,64.140,25940853
2025-09-25,63.660,64.880,62.690,63.880,26205608
2025-09-26,64.000,65.970,63.310,64.480,31719096
2025-09-29,65.000,65.800,63.210,65.300,25728068
2025-09-30,65.290,71.830,65.090,71.830,63959296
2025-10-09,71.000,71.790,68.000,71.210,61482060
2025-10-10,70.640,73.660,70.100,71.190,49562551
2025-10-13,69.040,72.260,69.000,70.750,35232573
2025-10-14,70.550,70.890,67.470,67.720,39297847
2025-10-15,67.720,67.740,65.600,66.580,32203029
2025-10-16,67.880,69.300,66.990,67.140,36928184
2025-10-17,66.800,67.990,64.420,64.570,32457341
2025-10-20,65.200,65.750,63.900,64.510,21030581
2025-10-21,64.450,64.860,63.740,64.330,19484101
2025-10-22,64.230,64.230,62.880,63.100,16872132
2025-10-23,63.070,63.300,61.360,62.270,20771027
2025-10-24,63.000,64.110,62.880,63.150,24274031
2025-10-27,63.930,64.140,62.700,63.660,21306428
2025-10-28,63.670,66.160,63.450,64.880,39144495
2025-10-29,64.850,64.850,63.800,64.130,22539863
2025-10-30,63.390,64.100,61.630,62.610,30903963
2025-10-31,62.620,62.970,61.080,61.080,22119000
2025-11-03,61.080,61.700,60.600,61.410,15974672
2025-11-04,61.200,61.300,59.940,60.290,15366902
2025-11-05,59.700,60.700,59.580,60.380,11605728
2025-11-06,60.380,61.020,60.370,60.660,12814621
2025-11-07,60.410,60.520,59.650,59.820,15161989
2025-11-10,59.800,60.200,58.620,59.630,16117244
2025-11-11,59.700,60.060,58.880,58.930,12850337
2025-11-12,58.880,58.920,57.620,58.320,15067193
2025-11-13,58.280,58.800,58.030,58.450,9131033
2025-11-14,58.470,60.610,58.410,59.040,30934201
2025-11-17,61.490,62.300,59.750,60.260,43442709
2025-11-18,60.300,60.400,57.980,59.380,24888460
2025-11-19,59.020,61.290,58.880,60.440,25785036
2025-11-20,59.600,60.250,58.910,58.950,16382371
2025-11-21,58.020,59.200,57.400,57.900,18606557
2025-11-24,58.220,61.380,58.180,61.200,32989892
2025-11-25,60.590,60.590,59.590,60.370,24886564
2025-11-26,59.800,59.800,58.270,58.400,23682723
2025-11-27,58.040,59.350,58.030,58.530,14982903
2025-11-28,58.530,58.900,58.170,58.710,10702224
2025-12-01,58.700,58.950,58.010,58.230,12603173
2025-12-02,58.100,58.340,57.570,57.580,11728311
2025-12-03,57.550,57.570,55.820,55.950,19318859
2025-12-04,55.950,57.300,55.900,56.700,13455017
2025-12-05,56.710,56.980,56.210,56.850,11026799
2025-12-08,57.010,57.640,56.860,56.930,15639689
2025-12-09,56.720,56.850,55.410,55.600,18936169
2025-12-10,55.560,55.960,55.030,55.820,15406869
2025-12-11,55.770,56.080,54.330,54.400,20079933
2025-12-12,54.410,54.600,53.190,53.630,37473931
2025-12-15,53.210,54.530,53.210,54.330,30491030
2025-12-16,54.330,54.410,52.900,53.900,17459799
2025-12-17,53.960,55.330,53.780,54.510,17101652
2025-12-18,53.850,54.960,53.760,54.520,15358948
2025-12-19,54.580,56.080,54.500,55.330,18900709
2025-12-22,55.550,55.630,54.800,54.860,14913307
2025-12-23,54.870,55.060,53.760,54.010,16310432
2025-12-24,53.950,55.690,53.730,55.650,21824259
2025-12-25,55.590,58.080,55.330,57.250,40628611
2025-12-26,57.480,57.480,56.000,56.630,23125882
