date,open,high,low,close,volume
2025-12-26,105.100,106.650,103.010,104.210,29801087
2025-12-29,106.980,109.290,103.000,107.620,34735114
2025-12-30,106.280,111.500,103.780,104.300,35131256
2025-12-31,105.190,105.340,99.890,100.300,33840670
2026-01-05,102.000,103.000,98.520,102.580,29786802
2026-01-06,103.620,107.000,99.000,100.590,33424080
2026-01-07,96.820,99.830,90.530,97.850,46301517
2026-01-08,96.220,97.770,93.800,94.650,36791459
2026-01-09,94.620,97.300,92.900,95.630,31581442
2026-01-12,94.230,95.480,93.250,94.430,27781822
2026-01-13,93.450,96.000,90.580,90.840,29102561
2026-01-14,90.850,95.150,90.850,93.900,28953329
2026-01-15,97.040,99.930,94.160,97.450,38826769
2026-01-16,94.000,97.900,93.000,96.400,37254591
2026-01-19,95.980,100.670,95.270,98.850,29538920
2026-01-20,98.790,98.790,90.200,91.200,34142221
2026-01-21,90.920,95.000,90.300,94.550,21245527
2026-01-22,94.550,96.910,92.930,95.150,21333354
2026-01-23,96.000,96.500,92.590,92.990,21081479
2026-01-26,92.020,95.160,92.010,92.850,19158238
2026-01-27,92.250,96.480,90.580,95.600,27545173
2026-01-28,96.080,99.300,93.070,98.230,33910970
2026-01-29,96.550,98.200,93.780,93.880,23560114
2026-01-30,93.130,97.520,90.960,96.060,22642752
2026-02-02,96.310,99.690,92.000,92.000,19770896
2026-02-03,93.000,95.310,89.680,94.910,25688367
2026-02-04,93.950,96.010,92.380,95.240,23126643
2026-02-05,93.500,93.500,89.690,89.690,23886200
2026-02-06,88.010,89.550,84.560,87.120,19501843
2026-02-09,88.860,94.940,87.880,94.290,30209260
2026-02-10,93.870,99.290,92.900,95.850,30495281
2026-02-11,96.910,104.600,96.910,99.000,41150189
2026-02-12,99.000,101.880,97.300,100.420,32302475
2026-02-13,99.420,99.900,95.810,95.930,23579871
2026-02-24,99.000,105.700,98.460,103.860,42023241
2026-02-25,103.000,124.630,102.000,123.580,77865905
2026-02-26,123.020,132.500,122.810,130.020,64819691
2026-02-27,127.430,134.930,124.910,134.320,62762684
2026-03-02,134.320,135.880,128.100,129.500,44387153
